id	Country	year	location
PC0167-C	Kenya	2014	Kisumu
PC0169-C	Kenya	2014	Kisumu
PC0170-C	Kenya	2014	Kisumu
PC0172-C	Kenya	2014	Kisumu
PC0173-C	Kenya	2014	Kisumu
PC0174-C	Kenya	2014	Kisumu
PC0178-C	Kenya	2014	Kisumu
PC0180-C	Kenya	2014	Kisumu
PC0183-C	Kenya	2014	Kisumu
PC0184-C	Kenya	2014	Kisumu
PC0186-C	Kenya	2014	Kisumu
PC0187-C	Kenya	2014	Kisumu
PC0188-C	Kenya	2014	Kisumu
PC0189-C	Kenya	2014	Kisumu
PC0191-C	Kenya	2014	Kisumu
PC0193-C	Kenya	2014	Kisumu
PC0197-C	Kenya	2014	Kisumu
PC0198-C	Kenya	2014	Kisumu
PC0199-C	Kenya	2014	Kisumu
PC0200-C	Kenya	2014	Kisumu
PC0201-C	Kenya	2014	Kisumu
PC0202-C	Kenya	2014	Kisumu
PC0206-C	Kenya	2014	Kisumu
PC0208-C	Kenya	2014	Kisumu
PC0209-C	Kenya	2014	Kisumu
PC0213-C	Kenya	2014	Kisumu
PC0220-C	Kenya	2014	Kisumu
PC0229-C	Kenya	2014	Kisumu
PC0231-C	Kenya	2014	Kisumu
PC0232-C	Kenya	2014	Kisumu
PC0233-C	Kenya	2014	Kisumu
PC0236-C	Kenya	2014	Kisumu
PC0245-C	Kenya	2014	Kisumu
PC0246-C	Kenya	2014	Kisumu
PC0252-C	Kenya	2014	Kisumu
PC0254-C	Kenya	2014	Kisumu
PC0255-C	Kenya	2014	Kisumu
PC0256-C	Kenya	2014	Kisumu
PC0257-C	Kenya	2014	Kisumu
PC0258-C	Kenya	2014	Kisumu
PC0259-C	Kenya	2014	Kisumu
PC0262-C	Kenya	2014	Kisumu
PC0263-C	Kenya	2014	Kisumu
PC0265-C	Kenya	2014	Kisumu
PC0268-C	Kenya	2014	Kisumu
PC0269-C	Kenya	2014	Kisumu
PC0273-C	Kenya	2014	Kisumu
PC0276-C	Kenya	2014	Kisumu
PC0277-C	Kenya	2014	Kisumu
PC0278-C	Kenya	2014	Kisumu
PC0282-C	Kenya	2014	Kisumu
PC0287-C	Kenya	2014	Kisumu
PC0288-C	Kenya	2014	Kisumu
PC0293-C	Kenya	2014	Kisumu
PC0295-C	Kenya	2014	Kisumu
PC0296-C	Kenya	2014	Kisumu
PC0301-C	Kenya	2014	Kisumu
PC0302-C	Kenya	2014	Kisumu
PC0305-C	Kenya	2014	Kisumu
PC0311-C	Kenya	2014	Kisumu
PC0314-C	Kenya	2014	Kisumu
PC0337-C	Kenya	2014	Kisumu
PC0352-C	Kenya	2014	Kisumu
PC4008-C	Kenya	2014	Kilifi
PC4009-C	Kenya	2014	Kilifi
PC4010-C	Kenya	2014	Kilifi
PC4011-C	Kenya	2014	Kilifi
PC4013-C	Kenya	2014	Kilifi
SPT43145	Kenya	2010	Kilifi
SPT43146	Kenya	2010	Kilifi
SPT43147	Kenya	2010	Kilifi
SPT43148	Kenya	2010	Kilifi
SPT43149	Kenya	2010	Kilifi
SPT43150	Kenya	2010	Kilifi
SPT43151	Kenya	2010	Kilifi
SPT43152	Kenya	2010	Kilifi
SPT43153	Kenya	2010	Kilifi
SPT43154	Kenya	2010	Kilifi
SPT43155	Kenya	2010	Kilifi
SPT43156	Kenya	2010	Kilifi
SPT43157	Kenya	2010	Kilifi
SPT43158	Kenya	2010	Kilifi
SPT43159	Kenya	2010	Kilifi
SPT43160	Kenya	2010	Kilifi
SPT43161	Kenya	2010	Kilifi
SPT43162	Kenya	2010	Kilifi
SPT43163	Kenya	2010	Kilifi
SPT43164	Kenya	2010	Kilifi
SPT43165	Kenya	2010	Kilifi
SPT43166	Kenya	2010	Kilifi
SPT43167	Kenya	2010	Kilifi
SPT43168	Kenya	2010	Kilifi
SPT43169	Kenya	2010	Kilifi
SPT43170	Kenya	2010	Kilifi
SPT43171	Kenya	2010	Kilifi
SPT43172	Kenya	2010	Kilifi
SPT43175	Kenya	2010	Kilifi
SPT43176	Kenya	2010	Kilifi
SPT43177	Kenya	2010	Kilifi
SPT43178	Kenya	2010	Kilifi
SPT43179	Kenya	2010	Kilifi
SPT43180	Kenya	2010	Kilifi
SPT43183	Kenya	2010	Kilifi
SPT43184	Kenya	2010	Kilifi
SPT43185	Kenya	2010	Kilifi
SPT43186	Kenya	2010	Kilifi
SPT43187	Kenya	2010	Kilifi
SPT43188	Kenya	2010	Kilifi
SPT43191	Kenya	2010	Kilifi
SPT43192	Kenya	2010	Kilifi
SPT43193	Kenya	2010	Kilifi
SPT43194	Kenya	2010	Kilifi
SPT43195	Kenya	2010	Kilifi
SPT43196	Kenya	2010	Kilifi
SPT43197	Kenya	2010	Kilifi
SPT43198	Kenya	2010	Kilifi
SPT43199	Kenya	2010	Kilifi
SPT43200	Kenya	2010	Kilifi
SPT43201	Kenya	2010	Kilifi
SPT43202	Kenya	2010	Kilifi
SPT43203	Kenya	2010	Kilifi
SPT43204	Kenya	2010	Kilifi
SPT43205	Kenya	2010	Kilifi
SPT43206	Kenya	2010	Kilifi
SPT43208	Kenya	2010	Kilifi
SPT43209	Kenya	2010	Kilifi
SPT43210	Kenya	2010	Kilifi
SPT43211	Kenya	2010	Kilifi
SPT43212	Kenya	2010	Kilifi
SPT43213	Kenya	2010	Kilifi
SPT43214	Kenya	2010	Kilifi
SPT43215	Kenya	2010	Kilifi
SPT43216	Kenya	2010	Kilifi
SPT43217	Kenya	2010	Kilifi
SPT43218	Kenya	2010	Kilifi
SPT43219	Kenya	2010	Kilifi
SPT43220	Kenya	2010	Kilifi
SPT43222	Kenya	2010	Kilifi
SPT43223	Kenya	2010	Kilifi
SPT43224	Kenya	2010	Kilifi
SPT43225	Kenya	2010	Kilifi
SPT43226	Kenya	2010	Kilifi
SPT43227	Kenya	2010	Kilifi
SPT43228	Kenya	2010	Kilifi
SPT43229	Kenya	2010	Kilifi
SPT43230	Kenya	2010	Kilifi
SPT43231	Kenya	2010	Kilifi
SPT43232	Kenya	2011	Kilifi
SPT43233	Kenya	2011	Kilifi
SPT43234	Kenya	2011	Kilifi
SPT43235	Kenya	2011	Kilifi
SPT43236	Kenya	2011	Kilifi
SPT43237	Kenya	2011	Kilifi
SPT43238	Kenya	2011	Kilifi
SPT43239	Kenya	2011	Kilifi
SPT43240	Kenya	2011	Kilifi
SPT43241	Kenya	2011	Kilifi
SPT43242	Kenya	2011	Kilifi
SPT43243	Kenya	2011	Kilifi
SPT43244	Kenya	2011	Kilifi
SPT43246	Kenya	2011	Kilifi
SPT43247	Kenya	2011	Kilifi
SPT43248	Kenya	2011	Kilifi
SPT43249	Kenya	2011	Kilifi
SPT43250	Kenya	2011	Kilifi
SPT43251	Kenya	2011	Kilifi
SPT43252	Kenya	2011	Kilifi
SPT43253	Kenya	2011	Kilifi
SPT43254	Kenya	2011	Kilifi
SPT43255	Kenya	2011	Kilifi
SPT43256	Kenya	2011	Kilifi
SPT43257	Kenya	2011	Kilifi
SPT43258	Kenya	2011	Kilifi
SPT43259	Kenya	2011	Kilifi
SPT43260	Kenya	2011	Kilifi
SPT43261	Kenya	2011	Kilifi
SPT43262	Kenya	2011	Kilifi
SPT43263	Kenya	2011	Kilifi
SPT43264	Kenya	2011	Kilifi
SPT43265	Kenya	2011	Kilifi
